Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	230893000000",46.73,1.12,2.46,Materials
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	179922000000",104.88,-0.56,-0.53,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	129396000000",269.89,1.26,0.47,"Health Care"
ASX:NAB,"National Australia Bank (ASX:NAB)",https://www.listcorp.com/asx/nab/nab,"	100469000000",31.175,-0.13,-0.4,Financials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	83782000000",23.91,-0.02,-0.08,Financials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	70335700000",183.58,0.29,0.16,Financials
ASX:ANZ,"ANZ Banking Group Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-banking-group-limited,"	69768800000",25,0.03,0.12,Financials
ASX:FMG,"Fortescue Metals Group (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-metals,"	63457500000",21.43,0.82,3.98,Materials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	60285300000",31.74,-0.01,-0.03,Energy
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers,"	53608000000",47.27,-0.01,-0.02,"Consumer Discretionary"
ASX:TLS,"Telstra Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-limited,"	45755500000",3.91,-0.05,-1.26,"Communication Services"
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban,"	44709600000",14.68,0.12,0.82,Industrials
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	42037400000",34.52,-0.11,-0.32,"Consumer Staples"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	41951100000",115.8,2.79,2.47,Materials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	37364500000",20.125,0.13,0.63,"Real Estate"
ASX:STO,"Santos Limited (ASX:STO)",https://www.listcorp.com/asx/sto/santos-limited,"	28213100000",8.39,0.06,0.72,Energy
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	23677000000",17.72,0.00,0,"Consumer Staples"
ASX:S32,"South32 Limited (ASX:S32)",https://www.listcorp.com/asx/s32/south32-limited,"	23087500000",5.075,0.10,1.91,Materials
ASX:ALL,"Aristocrat Leisure (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure,"	22640000000",34.155,0.34,1.02,"Consumer Discretionary"
ASX:NCM,"Newcrest Mining Limited (ASX:NCM)",https://www.listcorp.com/asx/ncm/newcrest-mining-limited,"	21702900000",24.62,0.32,1.32,Materials
ASX:QBE,"QBE Insurance Group Limited (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	17888100000",11.96,-0.10,-0.83,Financials
ASX:RHC,"Ramsay Health Care Limited (ASX:RHC)",https://www.listcorp.com/asx/rhc/ramsay-health-care-limited,"	17646800000",76.63,-0.47,-0.61,"Health Care"
ASX:SHL,"Sonic Healthcare Limited (ASX:SHL)",https://www.listcorp.com/asx/shl/sonic-healthcare,"	17158500000",35.28,-0.46,-1.29,"Health Care"
ASX:ASX,"ASX Limited (ASX:ASX)",https://www.listcorp.com/asx/asx/asx-limited,"	15613500000",80.83,0.18,0.22,Financials
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	15533800000",10.875,0.06,0.51,Industrials
ASX:JHX,"James Hardie Industries plc (ASX:JHX)",https://www.listcorp.com/asx/jhx/james-hardie-industries-plc,"	15079500000",34.39,0.53,1.57,Materials
ASX:SCG,"Scentre Group Limited (ASX:SCG)",https://www.listcorp.com/asx/scg/scentre-group-limited,"	14533100000",2.805,0.01,0.18,"Real Estate"
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	14486700000",112.63,2.98,2.72,"Communication Services"
ASX:AMC,"Amcor Limited (ASX:AMC)",https://www.listcorp.com/asx/amc/amcor-limited,"	14378100000",18.405,0.01,0.03,Materials
ASX:COH,"Cochlear Limited (ASX:COH)",https://www.listcorp.com/asx/coh/cochlear-limited,"	14331800000",218.27,0.37,0.17,"Health Care"
ASX:SUN,"Suncorp Group Limited (ASX:SUN)",https://www.listcorp.com/asx/sun/suncorp-group-limited,"	14216900000",11.055,-0.20,-1.82,Financials
ASX:CPU,"Computershare Limited (ASX:CPU)",https://www.listcorp.com/asx/cpu/computershare-limited,"	14024600000",23.25,0.02,0.09,"Information Technology"
ASX:APA,"APA Group (ASX:APA)",https://www.listcorp.com/asx/apa/apa-group,"	13509800000",11.25,-0.20,-1.75,Utilities
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	13337800000",43.12,2.25,5.51,"Information Technology"
ASX:EDV,"Endeavour Group Limited (ASX:EDV)",https://www.listcorp.com/asx/edv/endeavour-group-limited,"	12895100000",7.21,0.01,0.14,"Consumer Staples"
ASX:XRO,"Xero Limited (ASX:XRO)",https://www.listcorp.com/asx/xro/xero-limited,"	12680600000",87.06,2.28,2.69,"Information Technology"
ASX:RMD,"ResMed Inc (ASX:RMD)",https://www.listcorp.com/asx/rmd/resmed-inc,"	11466300000",29.35,1.02,3.6,"Health Care"
ASX:DXS,"Dexus (ASX:DXS)",https://www.listcorp.com/asx/dxs/dexus,"	11261200000",10.44,-0.03,-0.29,"Real Estate"
ASX:TPG,"TPG Telecom Limited (ASX:TPG)",https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	11063100000",5.99,0.04,0.67,"Communication Services"
ASX:MIN,"Mineral Resources Limited (ASX:MIN)",https://www.listcorp.com/asx/min/mineral-resources-limited,"	10894200000",60.095,2.52,4.37,Materials
ASX:FPH,"Fisher & Paykel Healthcare (ASX:FPH)",https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare,"	10728600000",18.72,0.14,0.75,"Health Care"
ASX:ORG,"Origin Energy Limited (ASX:ORG)",https://www.listcorp.com/asx/org/origin-energy-limited,"	10690600000",6.125,0.06,0.91,Utilities
